
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:16:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_16_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x4ca9d1db
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.06s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2245 iterations, 0.10 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2565  1778 infeasible   72      13524.0000 7171.73381  47.0%   227  115s
  2591  1792 8573.43436   73  216 13524.0000 7171.73381  47.0%   228  120s
  2614  1864 8676.94564   75  130 13524.0000 7171.73381  47.0%   229  126s
  2766  1918 7175.72558   21  648 13524.0000 7171.76171  47.0%   232  132s
  2829  1952 7176.19210   22  478 13524.0000 7171.76171  47.0%   235  138s
  2898  1963 7181.00124   23  373 13524.0000 7171.76171  47.0%   238  143s
  2956  1947 7802.38127   25  191 13524.0000 7171.92380  47.0%   242  149s
  2965  1951 7802.46185   26  200 13524.0000 7171.92380  47.0%   242  152s
  2972  1982 7802.60594   27  206 13524.0000 7171.92380  47.0%   242  157s
  3026  2080 8032.99086   28  386 13524.0000 7171.92380  47.0%   243  163s
  3170  2102 7925.50435   45  114 13524.0000 7171.92380  47.0%   241  167s
  3286  2146 7934.13047   64  199 13524.0000 7171.92380  47.0%   239  174s
  3378  2184 7934.26537   70  225 13524.0000 7171.92380  47.0%   239  178s
  3461  2192 8066.38123   77  150 13524.0000 7171.92380  47.0%   242  181s
  3499  2192 8129.11450   78  115 13524.0000 7172.04936  47.0%   242  185s
  3535  2289 8239.11991   79  180 13524.0000 7172.04936  47.0%   242  193s
  3652  2351 infeasible   86      13524.0000 7172.22453  47.0%   240  195s
  3959  2504 7777.98187   66   81 13524.0000 7173.25288  47.0%   237  202s
  4113  2587 7188.28879   18  431 13524.0000 7173.25288  47.0%   234  206s
  4275  2539 11362.2709   37  338 13524.0000 7173.25288  47.0%   235  210s
  4309  2561 11362.9633   39  323 13524.0000 7173.25288  47.0%   235  220s
  4316  2562 11523.8949   40  215 13524.0000 7173.25288  47.0%   235  232s
  4328  2571 11571.5081   41  184 13524.0000 7173.25288  47.0%   235  239s
  4369  2578 11571.8495   42  200 13524.0000 7173.25288  47.0%   235  244s
  4415  2644 11845.3025   59  150 13524.0000 7173.74574  47.0%   234  251s
  4535  2659 7178.80988   19  480 13524.0000 7173.74574  47.0%   233  257s
  4634  2817 7798.01459   24  278 13524.0000 7173.74574  47.0%   234  265s
  4869  2880 8159.49381   44  301 13524.0000 7173.74574  47.0%   228  273s
  5064  3026 8130.23628   67   90 13524.0000 7173.74574  47.0%   225  279s
  5310  3138 8430.40999   93   90 13524.0000 7173.74574  47.0%   224  283s
  5534  3246 8434.20899   94  122 13524.0000 7173.74574  47.0%   222  286s
  5733  3415 7186.46695   22  414 13524.0000 7173.74574  47.0%   224  291s
  5944  3583 11455.9832   51  102 13524.0000 7174.57676  46.9%   226  298s

Cutting planes:
  Learned: 4
  Cover: 435
  MIR: 219
  StrongCG: 9
  Flow cover: 293
  Zero half: 1
  Network: 4
  RLT: 17
  Relax-and-lift: 21

Explored 6150 nodes (1423009 simplex iterations) in 298.31 seconds (114.19 work units)
Thread count was 12 (of 12 available processors)

Solution count 10: 13524 13546 13647 ... 15426

Solve interrupted
Best objective 1.352400000000e+04, best bound 7.175000000000e+03, gap 46.9462%
