
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 77584 49379 8017.57408   64  194 8295.00000 7180.50748  13.4%   156  666s
 77590 49385 8017.93340   65  194 8295.00000 7180.50748  13.4%   156  671s
 77596 49391 8019.47123   66  190 8295.00000 7180.50748  13.4%   156  677s
 77602 49509 8020.48634   67  188 8295.00000 7180.50748  13.4%   156  681s
 77768 50080 8064.35360   82  221 8295.00000 7180.50748  13.4%   156  686s
 78503 50674 7591.63708   55  133 8295.00000 7180.60417  13.4%   156  690s
 80513 51827 7194.67559   37  453 8295.00000 7180.68949  13.4%   155  697s
 80874 51927 7959.76752   49  181 8295.00000 7180.69232  13.4%   155  701s
 81580 52761 7183.04850   23  292 8295.00000 7180.73093  13.4%   155  708s
 82247 53253 7230.85000   46  186 8295.00000 7180.81806  13.4%   155  711s
 82991 53843 7791.83125   29  119 8295.00000 7180.87358  13.4%   155  715s
 84182 54605 8279.83901   62  233 8295.00000 7180.92507  13.4%   155  722s
 84772 55498 7972.70499   45  151 8295.00000 7180.99809  13.4%   155  725s
 86548 56425 7866.78133   37  296 8295.00000 7181.00406  13.4%   154  731s
 87260 56855 8025.70906   39  247 8295.00000 7181.01182  13.4%   154  735s
 88827 57915 7893.00000   39   69 8295.00000 7181.06134  13.4%   153  742s
 89258 58837 7201.85714   29  222 8295.00000 7181.07486  13.4%   154  746s
 90913 59349 7212.87531   39  266 8295.00000 7181.17238  13.4%   153  751s
 91879 60234 7185.65000   32  218 8295.00000 7181.22824  13.4%   153  756s
 92992 61184 infeasible   71      8295.00000 7181.26556  13.4%   153  762s
 93706 61458 7799.28924   34  109 8295.00000 7181.29720  13.4%   152  765s
 94941 62438 7793.42735   26  322 8295.00000 7181.34314  13.4%   152  771s
 96149 63291 infeasible   51      8295.00000 7181.41521  13.4%   152  776s
 97204 64029 7182.53070   38  317 8295.00000 7181.46313  13.4%   152  782s
 98203 64791 7920.66938   56  192 8295.00000 7181.50420  13.4%   152  787s
 98773 65199 7201.46667   31  122 8295.00000 7181.54446  13.4%   152  790s
 99819 65755 7792.10150   32   28 8295.00000 7181.57241  13.4%   152  796s
 100584 66300 8165.79083   61   28 8295.00000 7181.60667  13.4%   152  803s
 100938 66652 7916.89557   34  228 8295.00000 7181.60667  13.4%   152  806s
 101939 67322 7185.64381   27  155 8295.00000 7181.66159  13.4%   152  814s
 102440 68078 7198.65480   27  337 8295.00000 7181.67977  13.4%   152  819s
 103436 68753 7842.87333   32   32 8295.00000 7181.70285  13.4%   152  823s
 104338 69405 7183.42857   28  160 8295.00000 7181.78640  13.4%   152  826s
 105963 70313 7815.28736   37  152 8295.00000 7181.82539  13.4%   152  832s
 106634 70729 8039.99028   56  209 8295.00000 7181.83723  13.4%   151  835s
 107974 71645 7865.13483   51  151 8295.00000 7181.86905  13.4%   151  841s
 108935 72212     cutoff   95      8295.00000 7181.87840  13.4%   151  847s
 109351 72717 8234.46833   70   47 8295.00000 7181.87840  13.4%   151  850s
 110699 73414 7848.87898   30  106 8295.00000 7181.91836  13.4%   150  856s
 110944 73612 8055.95288   56  163 8295.00000 7181.91836  13.4%   150  860s
 111545 74111 7822.90512   30  217 8295.00000 7181.97079  13.4%   150  866s
 112085 74593 7838.25569   31  260 8295.00000 7181.98522  13.4%   151  870s
 113624 75549 7808.88226   40  126 8295.00000 7182.02764  13.4%   150  876s
 114874 76607 7571.95455   44  111 8295.00000 7182.08516  13.4%   150  883s
 115557 77225 8247.84989   83  149 8295.00000 7182.11135  13.4%   150  887s
 116349 77789 infeasible   78      8295.00000 7182.16599  13.4%   150  891s
 117914 78592 8100.04846   59  173 8295.00000 7182.21356  13.4%   149  897s
 118155 79019 7794.30000   32  114 8295.00000 7182.22788  13.4%   149  900s
 119459 79980 8160.63864   60  181 8295.00000 7182.26287  13.4%   149  906s
 120454 80723 7798.04255   30  158 8295.00000 7182.29593  13.4%   149  913s
 120977 81226 7798.55000   29  121 8295.00000 7182.31029  13.4%   149  916s
 122328 82303 7863.47319   47  153 8295.00000 7182.37745  13.4%   149  923s
 123219 82507 7797.04030   26  185 8295.00000 7182.40828  13.4%   149  926s
 124315 83525 8093.10477   75   71 8295.00000 7182.46663  13.4%   149  932s
 124867 83910 7581.59873   46  127 8295.00000 7182.52739  13.4%   149  935s
 126022 84793 7943.76928   50  198 8295.00000 7182.58057  13.4%   149  941s
 127266 85593 8269.46357   56   79 8295.00000 7182.59890  13.4%   149  947s
 127883 86155 7797.06819   30  239 8295.00000 7182.61932  13.4%   149  951s
